team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2025,NYR,NYR,Team Level,other,82,0.37,0.5,0.48,9317,147.43,29,11.85,27.83,5.36,87.16,45.8,26.89,29,26.89,120,87,78,285,27,14,4,24,0,82,60,93,180,10,22,122,12,12,33,115,50,42,4.38,5.95,18.67,5,8,14,285,207,207,17,3.58,3.2,3.2,29.38,29.38,27.37,160.55,48.56,11.79,26.96,6.15,82.55,47.99,43.99,48.56,43.99,139,85,63,287,38,24,3,10,0,84,68,101,186,7,14,96,15,8,26,105,49,70,4.08,5.99,38.49,3,5,30,287,224,224,11,3.44,7.77,7.12,44.88,44.88,42.6
NYR,2025,NYR,NYR,Team Level,all,82,0.47,0.49,0.48,298511,2400.51,237.2,170.54,578.89,82.73,1319.32,918.31,226.06,237.69,226.56,2066,1241,1332,4639,235,260,28,426,4,1204,1178,1831,3072,287,639,2451,2112,366,1233,2428,619,260,71.11,75.24,90.86,91,78,66,4626.88,3307,3301.65,592,38.57,54.41,54.49,221.28,221.7,215.28,2638.95,268.44,183.75,636.7,89.49,1418.37,1012.25,252.87,269.95,254.3,2364,1245,1291,4900,249,306,43,430,3,1298,1323,2115,3360,251,563,2045,1611,362,1224,2675,640,294,79.42,78.93,110.1,86,79,84,4936.35,3609,3637.64,620,41.18,66.94,67.31,242.32,243.6,236.42
NYR,2025,NYR,NYR,Team Level,5on5,82,0.48,0.49,0.48,245786,1855.79,154.2,123.82,471.74,64.03,1017.49,734.72,148.52,154.69,149.01,1607,959,1117,3683,154,205,19,349,4,936,918,1453,2412,263,586,1905,2013,302,1075,1960,461,145,57.18,55.77,41.26,78,61,15,3670.88,2566,2560.65,532,25.78,41.23,41.31,138.67,139.09,136.85,2028.15,163.73,131.88,515.42,68.36,1093.2,808.4,157.52,165.23,158.95,1805,976,1073,3854,156,214,23,352,3,1004,1052,1649,2625,224,506,1581,1540,327,1077,2162,466,153,63.99,58.03,41.71,72,60,24,3890.35,2781,2809.64,563,27.38,41.85,42.17,148.93,150.21,147.77
NYR,2025,NYR,NYR,Team Level,4on5,82,0.09,0.1,0.12,23223,53.52,4.9,2.78,8.1,1.72,16.82,35.68,4.74,4.9,4.74,56,14,8,78,5,1,0,4,0,13,47,51,65,9,21,207,70,29,54,47,17,6,1.26,2.1,1.54,2,2,1,78,70,70,39,0.64,0.25,0.25,5.28,5.28,5.17,389.69,48.89,36.66,85.84,13.11,224.61,116.87,44.49,48.89,44.49,361,165,147,673,47,62,16,61,0,205,151,314,479,12,25,219,21,6,71,362,104,60,9.77,12.16,26.95,8,11,28,673,526,526,4,9.6,16.09,16.79,41.69,41.69,39.3
NYR,2025,NYR,NYR,Team Level,5on4,82,0.87,0.87,0.86,20185,343.78,49.1,32.08,71.22,11.63,197.85,102.11,45.93,49.1,45.93,283,181,129,593,49,40,5,49,0,173,153,234,415,5,10,217,17,23,71,306,91,67,8.29,11.42,29.39,6,7,36,593,464,464,4,8.58,9.72,9.72,47.96,47.96,45.89,60.57,7.27,3.41,8.47,1.86,18,38.98,6.88,7.27,6.88,59,19,8,86,8,6,1,7,0,5,52,51,70,8,18,149,35,21,50,46,21,11,1.58,2.75,2.95,3,3,2,86,78,78,42,0.77,1.23,1.23,6.82,6.82,6.75
LAK,2025,LAK,LAK,Team Level,other,82,0.54,0.47,0.43,10947,145.22,39.5,10.33,24.31,4.95,74.04,47.87,35.89,39.5,35.89,118,83,102,303,30,12,5,9,2,84,64,88,171,6,15,144,35,19,48,96,47,58,3.67,5.56,30.28,6,4,20,303,201,201,16,2.91,4.6,4.6,37.81,37.81,34.52,193.58,33.99,14.71,37.12,6.54,105.21,67.44,31.07,33.99,31.07,179,86,77,342,39,10,1,37,0,100,79,140,226,7,17,156,29,20,36,138,84,43,5.59,10.27,18.13,7,13,19,342,265,265,5,4.36,2.41,2.41,35.95,35.95,33.05
LAK,2025,LAK,LAK,Team Level,all,82,0.51,0.52,0.52,301673,2637.5,248.96,183.89,637.45,89.58,1426.73,1039.39,235.49,248.92,235.47,2298,1328,1480,5106,220,296,24,501,7,1323,1279,2078,3406,272,599,2330,1649,367,1286,2731,636,259,79.31,77.23,92.41,86,75,59,5100.64,3626,3626.37,581,40.9,57,57,232.86,233.11,225.22,2494.75,238.87,173.57,599.9,84.85,1331.95,976.86,226.11,240.04,227.22,2230,1176,1310,4716,238,264,21,504,3,1172,1225,1992,3168,258,574,2353,1621,382,1210,2499,681,226,75.01,83.57,80.28,91,83,64,4736.48,3406,3420.33,518,39.29,49.92,49.92,228.24,229.39,221.73
LAK,2025,LAK,LAK,Team Level,5on5,82,0.52,0.52,0.52,248165,2104.35,167.04,139.3,530.16,70.96,1134.96,845.57,161.06,167,161.04,1808,1080,1227,4115,152,230,16,430,4,1044,1028,1656,2736,237,526,1810,1546,309,1124,2239,500,149,65.21,61.09,40.74,69,61,22,4109.64,2888,2888.37,525,29.02,42.45,42.45,153.61,153.87,151.29,1925.99,151.86,127.64,485.51,65.34,1039.04,775.59,146.99,153.04,148.1,1697,948,1122,3767,140,199,14,391,3,944,968,1557,2505,231,513,1809,1532,308,1046,2045,483,117,60.27,59.86,31.73,75,51,14,3787.48,2645,2659.33,467,26.56,36.28,36.32,142.12,143.27,141.01
LAK,2025,LAK,LAK,Team Level,4on5,82,0.11,0.15,0.17,21453,59.02,5.65,3.3,9.01,2.08,20.96,42,5.51,5.65,5.51,66,17,7,90,6,4,1,8,0,10,55,60,77,10,22,181,41,26,37,61,13,9,1.69,1.65,2.31,2,2,2,90,83,83,34,0.76,0.81,0.81,5.61,5.61,5.53,308.32,46.64,27.99,67.04,10.9,166.62,87.81,41.8,46.64,41.8,291,116,101,508,53,48,5,67,0,117,122,238,354,12,26,216,14,16,77,253,95,59,7.1,11.13,28.42,7,16,30,508,407,407,4,7.63,10.55,10.51,43.76,43.76,41.3
LAK,2025,LAK,LAK,Team Level,5on4,82,0.85,0.86,0.84,21108,328.93,36.76,30.97,73.96,11.59,196.77,103.95,33.03,36.76,33.03,306,148,144,598,32,50,2,54,1,185,132,274,422,19,36,195,27,13,77,335,76,43,8.75,8.92,19.09,9,8,15,598,454,454,6,8.22,9.15,9.15,35.83,35.83,33.87,66.85,6.37,3.24,10.23,2.09,21.09,45.99,6.26,6.37,6.26,63,26,10,99,6,7,1,9,0,11,56,57,83,8,18,172,46,38,51,63,19,7,2.07,2.3,2,2,3,1,99,89,89,42,0.74,0.69,0.69,6.42,6.42,6.37
